tag,count,href,category
Magnus Bane/Alec Lightwood,43735,/tags/Magnus%20Bane*s*Alec%20Lightwood,r
Magnus Bane,33945,/tags/Magnus%20Bane,c
Alec Lightwood,35596,/tags/Alec%20Lightwood,c
Jace Wayland,14898,/tags/Jace%20Wayland,c
Isabelle Lightwood,15406,/tags/Isabelle%20Lightwood,c
Valentine Morgenstern,1319,/tags/Valentine%20Morgenstern,c
Clary Fray/Jace Wayland,3563,/tags/Clary%20Fray*s*Jace%20Wayland,r
Max Lightwood,1905,/tags/Max%20Lightwood,c
Luke Garroway,3145,/tags/Luke%20Garroway,c
Maryse Lightwood,4426,/tags/Maryse%20Lightwood,c
Will Herondale,1237,/tags/Will%20Herondale,c
Jem Carstairs,1522,/tags/Jem%20Carstairs,c
Jem Carstairs/Will Herondale,445,/tags/Jem%20Carstairs*s*Will%20Herondale,r
Clary Fray,11837,/tags/Clary%20Fray,c
Jem Carstairs/Tessa Gray,545,/tags/Jem%20Carstairs*s*Tessa%20Gray,r
Tessa Gray,1731,/tags/Tessa%20Gray,c
Camille Belcourt,1439,/tags/Camille%20Belcourt,c
Aline Penhallow,944,/tags/Aline%20Penhallow,c
Simon Lewis,10612,/tags/Simon%20Lewis,c
Raphael Santiago,5553,/tags/Raphael%20Santiago,c
Magnus Bane/Camille Belcourt,256,/tags/Magnus%20Bane*s*Camille%20Belcourt,r
Maia Roberts,2816,/tags/Maia%20Roberts,c
Magnus Bane/Isabelle Lightwood,51,/tags/Magnus%20Bane*s*Isabelle%20Lightwood,r
Jordan Kyle,230,/tags/Jordan%20Kyle,c
Jordan Kyle/Maia Roberts,72,/tags/Jordan%20Kyle*s*Maia%20Roberts,r
Alec Lightwood/Raphael Santiago,8,/tags/Alec%20Lightwood*s*Raphael%20Santiago,r
Maureen Brown,117,/tags/Maureen%20Brown,c
Simon Lewis/Alec Lightwood,118,/tags/Simon%20Lewis*s*Alec%20Lightwood,r
Magnus Bane/Alec Lightwood/Jace Wayland,573,/tags/Magnus%20Bane*s*Alec%20Lightwood*s*Jace%20Wayland,r
Alec Lightwood/Jace Wayland,2357,/tags/Alec%20Lightwood*s*Jace%20Wayland,r
Jordan Kyle/Alec Lightwood,2,/tags/Jordan%20Kyle*s*Alec%20Lightwood,r
Hodge Starkweather,394,/tags/Hodge%20Starkweather,c
Clary Fray/Simon Lewis,229,/tags/Clary%20Fray*s*Simon%20Lewis,r
Maia Roberts/Jace Wayland,211,/tags/Maia%20Roberts*s*Jace%20Wayland,r
Jocelyn Fairchild,1108,/tags/Jocelyn%20Fairchild,c
Jem Carstairs/Cecily Herondale,3,/tags/Jem%20Carstairs*s*Cecily%20Herondale,r
Jem Carstairs/Tessa Gray/Will Herondale,354,/tags/Jem%20Carstairs*s*Tessa%20Gray*s*Will%20Herondale,r
Alec Lightwood/Original Character(s),6,/tags/Alec%20Lightwood*s*Original%20Character(s),r
Alec Lightwood/Jonathan Christopher Morgenstern | Sebastian Verlac,138,/tags/Alec%20Lightwood*s*Jonathan%20Christopher%20Morgenstern%20%7C%20Sebastian%20Verlac,r
Clary Fray/Jonathan Christopher Morgenstern | Sebastian Verlac,178,/tags/Clary%20Fray*s*Jonathan%20Christopher%20Morgenstern%20%7C%20Sebastian%20Verlac,r
Jocelyn Fairchild/Valentine Morgenstern,65,/tags/Jocelyn%20Fairchild*s*Valentine%20Morgenstern,r
Jocelyn Fairchild/Luke Garroway,335,/tags/Jocelyn%20Fairchild*s*Luke%20Garroway,r
Luke Garroway/Original Character(s),5,/tags/Luke%20Garroway*s*Original%20Character(s),r
Alec Lightwood/Original Male Character(s),93,/tags/Alec%20Lightwood*s*Original%20Male%20Character(s),r
