tag,count,href,category
Cid Highwind/Vincent Valentine,544,/tags/Cid%20Highwind*s*Vincent%20Valentine,r
Cid Highwind,1707,/tags/Cid%20Highwind,c
Vincent Valentine,3828,/tags/Vincent%20Valentine,c
Reno/Rufus Shinra,310,/tags/Reno*s*Rufus%20Shinra,r
Rufus Shinra,2876,/tags/Rufus%20Shinra,c
Tifa Lockhart,6989,/tags/Tifa%20Lockhart,c
Tifa Lockhart/Vincent Valentine,127,/tags/Tifa%20Lockhart*s*Vincent%20Valentine,r
Reno/Rude/Rufus Shinra,5,/tags/Reno*s*Rude*s*Rufus%20Shinra,r
Cloud Strife,14131,/tags/Cloud%20Strife,c
Tifa Lockhart/Sephiroth,78,/tags/Tifa%20Lockhart*s*Sephiroth,r
Community: ff_flashfic,4,/tags/Community:%20ff_flashfic,f
Community: ff_exchange,50,/tags/Community:%20ff_exchange,f
Yuffie Kisaragi,2028,/tags/Yuffie%20Kisaragi,c
Community: ff_fortnightly,38,/tags/Community:%20ff_fortnightly,f
Barret Wallace,2319,/tags/Barret%20Wallace,c
Reeve Tuesti,1352,/tags/Reeve%20Tuesti,c
Marlene Wallace,1103,/tags/Marlene%20Wallace,c
Yuffie Kisaragi/Shalua Rui,2,/tags/Yuffie%20Kisaragi*s*Shalua%20Rui,r
Yuffie Kisaragi/Tifa Lockhart,34,/tags/Yuffie%20Kisaragi*s*Tifa%20Lockhart,r
Gast Faremis,186,/tags/Gast%20Faremis,c
Gast Faremis/Ifalna,29,/tags/Gast%20Faremis*s*Ifalna,r
Sephiroth/Cloud Strife,4659,/tags/Sephiroth*s*Cloud%20Strife,r
Aerith Gainsborough,5783,/tags/Aerith%20Gainsborough,c
Lucrecia Crescent,539,/tags/Lucrecia%20Crescent,c
Reeve Tuesti/Vincent Valentine,106,/tags/Reeve%20Tuesti*s*Vincent%20Valentine,r
Elena/Rufus Shinra/Tseng,26,/tags/Elena*s*Rufus%20Shinra*s*Tseng,r
Lucrecia Crescent/Vincent Valentine,196,/tags/Lucrecia%20Crescent*s*Vincent%20Valentine,r
Rufus Shinra/Tseng,743,/tags/Rufus%20Shinra*s*Tseng,r
Cid Highwind/Tifa Lockhart,12,/tags/Cid%20Highwind*s*Tifa%20Lockhart,r
Zack Fair,6759,/tags/Zack%20Fair,c
Midgar/Reeve Tuesti,1,/tags/Midgar*s*Reeve%20Tuesti,r
Tseng/Vincent Valentine,35,/tags/Tseng*s*Vincent%20Valentine,r
Irvine Kinneas/Yuffie Kisaragi,1,/tags/Irvine%20Kinneas*s*Yuffie%20Kisaragi,r
Zack Fair/Aerith Gainsborough,1209,/tags/Zack%20Fair*s*Aerith%20Gainsborough,r
Aerith Gainsborough/Tifa Lockhart,888,/tags/Aerith%20Gainsborough*s*Tifa%20Lockhart,r
Yuffie Kisaragi/Vincent Valentine,228,/tags/Yuffie%20Kisaragi*s*Vincent%20Valentine,r
President Shinra,460,/tags/President%20Shinra,c
Don Corneo,153,/tags/Don%20Corneo,c
Elmyra Gainsborough,319,/tags/Elmyra%20Gainsborough,c
Veld (Compilation of FFVII),529,/tags/Veld%20(Compilation%20of%20FFVII),c
Shera (Compilation of FFVII),213,/tags/Shera%20(Compilation%20of%20FFVII),c
Scarlet (Compilation of FFVII),325,/tags/Scarlet%20(Compilation%20of%20FFVII),c
Dyne (Compilation of FFVII),27,/tags/Dyne%20(Compilation%20of%20FFVII),c
Godo Kisaragi,79,/tags/Godo%20Kisaragi,c
Heidegger (Compilation of FFVII),215,/tags/Heidegger%20(Compilation%20of%20FFVII),c
Hojo (Compilation of FFVII),1335,/tags/Hojo%20(Compilation%20of%20FFVII),c
Palmer (Compilation of FFVII),81,/tags/Palmer%20(Compilation%20of%20FFVII),c
Jessie (Compilation of FFVII),576,/tags/Jessie%20(Compilation%20of%20FFVII),c
Vincent Valentine/Veld,117,/tags/Vincent%20Valentine*s*Veld,r
Aerith Gainsborough/Cloud Strife,1194,/tags/Aerith%20Gainsborough*s*Cloud%20Strife,r
Aerith Gainsborough/Reno,49,/tags/Aerith%20Gainsborough*s*Reno,r
Aerith Gainsborough/Vincent Valentine,14,/tags/Aerith%20Gainsborough*s*Vincent%20Valentine,r
Angeal Hewley/Genesis Rhapsodos,407,/tags/Angeal%20Hewley*s*Genesis%20Rhapsodos,r
Cid Highwind/Shera,120,/tags/Cid%20Highwind*s*Shera,r
Zack Fair/Sephiroth,374,/tags/Zack%20Fair*s*Sephiroth,r
Cid Highwind/Yuffie Kisaragi,6,/tags/Cid%20Highwind*s*Yuffie%20Kisaragi,r
Cloud Strife/Vincent Valentine,336,/tags/Cloud%20Strife*s*Vincent%20Valentine,r
Zack Fair/Cloud Strife,2224,/tags/Zack%20Fair*s*Cloud%20Strife,r
Zack Fair/Angeal Hewley,215,/tags/Zack%20Fair*s*Angeal%20Hewley,r
Tifa Lockhart/Veld,2,/tags/Tifa%20Lockhart*s*Veld,r
Tifa Lockhart/Rude,181,/tags/Tifa%20Lockhart*s*Rude,r
Tifa Lockhart/Reno,202,/tags/Tifa%20Lockhart*s*Reno,r
