tag,count,href,category
Belle/Rapunzel (Disney),7,/tags/Belle*s*Rapunzel%20(Disney),r
Eugene Fitzherbert | Flynn Rider,4103,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider,c
Belle/Eugene Fitzherbert | Flynn Rider,1,/tags/Belle*s*Eugene%20Fitzherbert%20%7C%20Flynn%20Rider,r
Eugene Fitzherbert | Flynn Rider/Maximus,6,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Maximus,r
Aladdin/Eugene Fitzherbert | Flynn Rider,2,/tags/Aladdin*s*Eugene%20Fitzherbert%20%7C%20Flynn%20Rider,r
Eugene Fitzherbert | Flynn Rider/Rapunzel,2526,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Rapunzel,r
Jasmine/Rapunzel (Disney),2,/tags/Jasmine*s*Rapunzel%20(Disney),r
Eugene Fitzherbert | Flynn Rider/Hiccup Horrendous Haddock III,5,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Hiccup%20Horrendous%20Haddock%20III,r
Rapunzel/Tiana (Disney),8,/tags/Rapunzel*s*Tiana%20(Disney),r
Merida/Rapunzel (Disney),33,/tags/Merida*s*Rapunzel%20(Disney),r
Eugene Fitzherbert | Flynn Rider & Miguel (Road to El Dorado),6,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider%20*a*%20Miguel%20(Road%20to%20El%20Dorado),r
Anna/Rapunzel (Disney),38,/tags/Anna*s*Rapunzel%20(Disney),r
Anna/Eugene Fitzherbert | Flynn Rider/Kristoff/Rapunzel (Disney),5,/tags/Anna*s*Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Kristoff*s*Rapunzel%20(Disney),r
Tamora Calhoun/Rapunzel (Disney),1,/tags/Tamora%20Calhoun*s*Rapunzel%20(Disney),r
Eugene Fitzherbert | Flynn Rider/Robin Hood (Once Upon a Time),0,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Robin%20Hood%20(Once%20Upon%20a%20Time),r
Female Eugene Fitzherbert | Flynn Rider,20,/tags/Female%20Eugene%20Fitzherbert%20%7C%20Flynn%20Rider,f
Aurora/Rapunzel (Disney),4,/tags/Aurora*s*Rapunzel%20(Disney),r
Anna/Eugene Fitzherbert | Flynn Rider (Disney),4,/tags/Anna*s*Eugene%20Fitzherbert%20%7C%20Flynn%20Rider%20(Disney),r
Ariel/Eugene Fitzherbert | Flynn Rider/Jasmine (Disney),0,/tags/Ariel*s*Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Jasmine%20(Disney),r
Kristoff/Rapunzel (Disney),2,/tags/Kristoff*s*Rapunzel%20(Disney),r
Anna & Rapunzel (Disney),26,/tags/Anna%20*a*%20Rapunzel%20(Disney),r
Megara/Rapunzel (Disney),1,/tags/Megara*s*Rapunzel%20(Disney),r
Beast/Belle/Rapunzel (Disney),0,/tags/Beast*s*Belle*s*Rapunzel%20(Disney),r
Elsa/Rapunzel (Disney),46,/tags/Elsa*s*Rapunzel%20(Disney),r
Eugene Fitzherbert | Flynn Rider & Rapunzel,301,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider%20*a*%20Rapunzel,r
Alternate Universe - Tangled (2010) Fusion,564,/tags/Alternate%20Universe%20-%20Tangled%20(2010)%20Fusion,f
Tangled (2010) References,194,/tags/Tangled%20(2010)%20References,f
Eugene Fitzherbert | Flynn Rider/Original Character(s),7,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Original%20Character(s),r
Eugene Fitzherbert | Flynn Rider/Kristoff,12,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Kristoff,r
Elsa/Eugene Fitzherbert | Flynn Rider,17,/tags/Elsa*s*Eugene%20Fitzherbert%20%7C%20Flynn%20Rider,r
Jamie Bennett (Rise of the Guardians)/Rapunzel (Tangled),0,/tags/Jamie%20Bennett%20(Rise%20of%20the%20Guardians)*s*Rapunzel%20(Tangled),r
Hans/Rapunzel (Disney),3,/tags/Hans*s*Rapunzel%20(Disney),r
Eugene Fitzherbert | Flynn Rider/Tadashi Hamada,0,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Tadashi%20Hamada,r
Eugene Fitzherbert | Flynn Rider & Pub Thugs,1,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider%20*a*%20Pub%20Thugs,r
Elsa/Eugene Fitzherbert | Flynn Rider/Rapunzel,5,/tags/Elsa*s*Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Rapunzel,r
Eugene Fitzherbert | Flynn Rider/Naveen,1,/tags/Eugene%20Fitzherbert%20%7C%20Flynn%20Rider*s*Naveen,r
Elsa & Rapunzel (Disney),16,/tags/Elsa%20*a*%20Rapunzel%20(Disney),r
Ariel/Rapunzel (Disney),7,/tags/Ariel*s*Rapunzel%20(Disney),r
Rapunzel/Snow White (Disney),3,/tags/Rapunzel*s*Snow%20White%20(Disney),r
